slug,title,thumbnail_path,thumbnail_status,topic,manual_action
ren-2023-multifunctional,Multifunctional Additive CdAc2 for Efficient Perovskite-Based Solar Cells,/media/publications/ren-2023-multifunctional/publication-thumbnail.png,real,Grain Boundaries and Defects,
tang-2023-moisture,"Moisture-Insensitive, Phase-Stable Indium-Based Metal Halides and Their Light-Emitting Applications",/media/publications/tang-2023-moisture/publication-thumbnail.png,real,Photovoltaics and Optoelectronics,
chang-2023-forecasting,Forecasting the unrevealed surface-controlled photocatalytic water splitting in two-dimensional Ag 2 Se with ultrafast carrier mobility: a first-principles study,/media/publications/chang-2023-forecasting/publication-thumbnail.png,real,2D and Layered Perovskites,
jiang-2023-flexible,"Flexible and Efficient Semi-Empirical DFTB methods for Electronic Structure Prediction of 3D, 2D and 3D/2D Halide Perovskites",/media/publications/jiang-2023-flexible/publication-thumbnail.png,real,DFTB and Method Development,
zhao-2023-excitation,Excitation Wavelength-Dependent Fluorescence of a Lanthanide Organic Metal Halide Cluster for Anti-Counterfeiting Applications,/media/publications/zhao-2023-excitation/publication-thumbnail.png,real,Metal-Halide Perovskites,
chang-2023-achieving,Achieving type-II SnSSe/as van der waals heterostructure with satisfactory oxygen tolerance for optoelectronic and photovoltaic applications,/media/publications/chang-2023-achieving/publication-thumbnail.png,real,Interfaces and Heterostructures,
jiang-2022-role,The role of solvents in the formation of methylammonium lead triiodide perovskite,/media/publications/jiang-2022-role/publication-thumbnail.png,real,Molecular Dynamics,
chang-2022-prediction,Prediction of stable silver selenide-based energy materials sustained by rubidium selenide alloying,/media/publications/chang-2022-prediction/publication-thumbnail.png,real,Low-Dimensional Materials,
meng-2022-organic,Organic--Inorganic Hybrid Cuprous-Based Metal Halides for Warm White Light-Emitting Diodes,/media/publications/meng-2022-organic/publication-thumbnail.png,real,Photovoltaics and Optoelectronics,
chang-2022-improved,Improved Thermoelectric--Photovoltaic Performance of Ag2Se Originating from a Halogenation-Induced Wider Band Gap and Low Crystal Symmetry,/media/publications/chang-2022-improved/publication-thumbnail.png,real,Photovoltaics and Optoelectronics,
wang-2022-germanium,Germanium Halides Serving as Ideal Precursors: Designing a More Effective and Less Toxic Route to High-Optoelectronic-Quality Metal Halide Perovskite Nanocrystals,/media/publications/wang-2022-germanium/publication-thumbnail.png,real,Metal-Halide Perovskites,
wang-2022-filling,Filling chlorine vacancy with bromine: A two-step hot-injection approach achieving defect-free hybrid halogen perovskite nanocrystals,/media/publications/wang-2022-filling/publication-thumbnail.png,real,Grain Boundaries and Defects,
